Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
536000,22633,HAND WARMER UNION JACK,17,2026-01-14 15:36:00,2.73,15030,France
536001,71053,WHITE METAL LANTERN,42,2026-01-24 10:09:00,5.38,14309,Germany
536002,71053,WHITE METAL LANTERN,1,2026-01-11 20:10:00,8.29,12772,UK
536003,22633,HAND WARMER UNION JACK,19,2026-01-13 08:38:00,8.58,16782,Germany
536004,84406B,CREAM CUPID HEARTS COAT HANGER,47,2026-01-23 08:06:00,7.31,16058,Germany
536005,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2026-01-08 04:11:00,3.02,13061,UK
536006,71053,WHITE METAL LANTERN,14,2026-01-07 23:15:00,5.24,13364,Italy
536007,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,21,2026-01-13 12:54:00,1.14,13473,Italy
536008,71053,WHITE METAL LANTERN,42,2026-01-15 09:03:00,10.0,12683,France
536009,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,41,2026-01-18 02:25:00,9.3,14935,France
536010,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2026-01-05 20:52:00,8.7,17601,Germany
536011,22633,HAND WARMER UNION JACK,44,2026-01-06 18:08:00,2.9,13782,Spain
536012,22633,HAND WARMER UNION JACK,43,2026-01-01 22:27:00,4.52,17461,France
536013,84406B,CREAM CUPID HEARTS COAT HANGER,12,2026-01-03 17:54:00,6.32,17572,UK
536014,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,27,2026-01-01 11:03:00,3.94,16547,UK
536015,71053,WHITE METAL LANTERN,10,2026-01-20 03:00:00,1.15,14137,Germany
536016,22633,HAND WARMER UNION JACK,11,2026-01-18 01:00:00,4.86,14301,Germany
536017,22633,HAND WARMER UNION JACK,33,2026-01-13 00:16:00,5.63,14578,Italy
536018,22633,HAND WARMER UNION JACK,25,2026-01-12 03:07:00,3.36,17529,Italy
536019,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2026-01-24 03:16:00,3.29,16322,Germany
536020,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,2026-01-15 02:28:00,7.74,16535,Italy
536021,71053,WHITE METAL LANTERN,12,2026-01-02 08:22:00,6.72,12154,UK
536022,85123A,WHITE HANGING HEART T-LIGHT HOLDER,45,2026-01-22 12:10:00,4.19,16536,Spain
536023,22633,HAND WARMER UNION JACK,37,2026-01-16 03:57:00,8.09,16407,UK
